headword,pos,supplement,topic_tag,entry,meaning,meaning_en,meaning_ja,ipa,word_id,example_sentence,translated_sentence,sentence_id
ability,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,ability,"〈U〉能力, 力量 / 《複数形で》特殊な才能,優れた手腕",,"〈U〉能力, 力量 / 《複数形で》特殊な才能,優れた手腕",/əˈbɪləti/,104,She has the ability to speak multiple languages.,彼女は複数の言語を話す能力を持っています。,3008874
abroad,adverb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,abroad,"海外へ(で),外国に(で)  / 《古》戸外へ  / 広く;(うわさなどが)広まって",,"海外へ(で),外国に(で)  / 《古》戸外へ  / 広く;(うわさなどが)広まって",/əˈbrɔːd/,164,I am planning to study abroad next year.,私は来年、海外で勉強する予定です。,2995636
accept,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,accept,"(喜んで)〈物〉'を'受け取る,〈事〉'を'受け入れる  / 〈提案・決定など〉'を'受諾する,〈事態・運命など〉に従う;(特に)…‘に'しかたなく同意する  / 〈弁解・説明・理論など〉'を'認める,容認する  / 〈責任・任務など〉'を'引き受ける  / 〈人〉'を'受け入れる,仲間(身内)に入れる  / 〈手形〉'を'引き受ける",,"(喜んで)〈物〉'を'受け取る,〈事〉'を'受け入れる  / 〈提案・決定など〉'を'受諾する,〈事態・運命など〉に従う;(特に)…‘に'しかたなく同意する  / 〈弁解・説明・理論など〉'を'認める,容認する  / 〈責任・任務など〉'を'引き受ける  / 〈人〉'を'受け入れる,仲間(身内)に入れる  / 〈手形〉'を'引き受ける",/əkˈsɛpt/,259,I gladly accept your generous gift.,喜んであなたの寛大な贈り物を受け取ります。,2995669
acceptable,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,acceptable,"受け入れられる,認められる / 人に喜ばれる",,"受け入れられる,認められる / 人に喜ばれる",/əkˈsɛptəbəl/,261,Your proposal is perfectly acceptable.,あなたの提案は完全に受け入れられます。,2995663
accident,noun,"CoreInventory_1: News, lifestyles and current affairs

CoreInventory 2: 

Threshold: Health and body care",,accident,"〈C〉偶然,偶発,めぐり合わせ  / 〈C〉事故,災難",,"〈C〉偶然,偶発,めぐり合わせ  / 〈C〉事故,災難",/ˈæksɪdənt/,274,The meeting with my best friend in the city was a happy accident.,都市での親友との出会いは幸せな偶然だった。,2995675
account,noun,"CoreInventory_1: Things in the town, shops and shopping

CoreInventory 2: 

Threshold: Services",,account,〈C〉口座 / 報告 / 理論 / 記述; 会計記録 / つけ / 取引,,〈C〉口座 / 報告 / 理論 / 記述; 会計記録 / つけ / 取引,/əˈkaʊnt/,307,I need to create a new account on this website.,このウェブサイトで新しいアカウントを作成する必要があります。,2892514
achieve,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,achieve,"（目標・成功などを）達成する,（能力・技術などを）身につける,（勝利・名声などを）獲得する,勝ち取る",,"（目標・成功などを）達成する,（能力・技術などを）身につける,（勝利・名声などを）獲得する,勝ち取る",/əˈtʃiːv/,358,She achieved her dream of becoming a famous actress.,彼女は有名な女優になる夢を実現した。,1627482
across,adverb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,across,横切って / 広範囲にわたって / 向こう側に,,横切って / 広範囲にわたって / 向こう側に,/əˈkrɔs/,9714692,He ran across the field.,彼はフィールドを横切って走った。,6535350
across,preposition,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,across,を横切って / と交差して / の向こう側に,,を横切って / と交差して / の向こう側に,/əˈkrɔːs/,414,The cat ran quickly across the street.,猫は素早く通りを横切った。,2995733
act,verb,"CoreInventory_1: Hobbies and pastimes

CoreInventory 2: 

Threshold: Free time, entertainment",,act,"行動する,行う  / 《様態を表す副詞[句]を伴って》わざとふるまう,見せかける  / 〈人・物が〉(…として)動く,役割をはたす《+as+名》  / 〈薬が〉作用する,きく  / 舞台に立つ,出演する  / 〈…の役〉'を'演ずる;〈劇〉'を'上演する  / …‘に'ふさわしくふるまう  / …‘に'見せかける,‘の'ふりをする",,"行動する,行う  / 《様態を表す副詞[句]を伴って》わざとふるまう,見せかける  / 〈人・物が〉(…として)動く,役割をはたす《+as+名》  / 〈薬が〉作用する,きく  / 舞台に立つ,出演する  / 〈…の役〉'を'演ずる;〈劇〉'を'上演する  / …‘に'ふさわしくふるまう  / …‘に'見せかける,‘の'ふりをする",/ækt/,421,The soldier acted bravely.,その兵士は勇敢に振る舞った。,118682
