cefr,headword,pos,first_meaning,meaning_raw,issues
A1,'m,be-verb,amの短縮形,[[am]]の短縮形,has_ascii_letter
A1,'re,be-verb,areの短縮形,[[are]]の短縮形,has_ascii_letter
A1,'s,be-verb,has,"[[has]], [[is]], [[us]],(疑問詞のあとの) [[does]]の短縮形",has_ascii_letter
A1,April,noun,4月,4月(《略》Apr.),
A1,August,noun,8月,8月(《略》Aug.)  / 《形容詞的に》August heat wave{名}〈C〉8月の暑波August vacation{名}〈C〉8月の休暇,
A1,CD,noun,コンパクトディスク,（音楽を聴くためなどに使う）コンパクトディスク,
A1,CD player,noun,CDプレーヤー,（音楽を聴くための）CDプレーヤー,has_ascii_letter
A1,DVD,noun,デジタル多用途ディスク,（動画などを見るための）デジタル多用途ディスク,
A1,December,noun,12月,12月({略}Dec.),
A1,February,noun,2月,2月(《略》Feb.),
A1,Friday,noun,金曜日,"金曜日(《略》Fr.,Fri.)",
A1,Internet,noun,インターネット,"《The 〜》インターネット /  (単にthe net, the Netともいう)",
A1,January,noun,1月,"1月(《略》Ja.,Jan.)",
A1,July,noun,7月,"7月(《略》Jul.,Jy.)",
A1,June,noun,6月,"6月(《略》Je.,Jun.)",
A1,March,noun,3月,『3月』({略}『Mar.』),
A1,May,noun,5月,『5月』,
A1,Miss,noun,未婚婦人,"〈C〉未婚婦人 /《複数形で》少女 / 《M-》《未婚婦人の姓・姓名の前に付けて》…嬢,…さん / 《生徒が女の先生に対して》…先生",
A1,Monday,noun,月曜日,月曜日(《略》Mon.),
A1,Mr.,noun,Mister,"[[Mister]] / 《成人男子の姓・姓名の前に付けて》…『氏』,様,殿,君,さん,先生 / 《官職名・役職名の前に付けて》…殿 / 《電話で自分を名乗って》 / 《まれ》《自分の夫のことを他人に話すとき,また改まって》夫,主人 / 《一国・一団の代表的な男性に用いて》",has_ascii_letter
A1,Mrs.,noun,Mistress,"[[Mistress]] / 《既婚女性の姓・姓名の前に付けて》…『夫人』,様,殿,さん,先生 / 《電話で自分を名乗って》",has_ascii_letter
A1,November,noun,11月,"〈U/C〉11月, 《形容詞的に》11月の",
A1,OK,adjective,よろしい,《…にとって》『よろしい』([[all right]])《with ...》 / [[okay]],
A1,OK ; okay,adverb,うまく,"『うまく』,よく([[well]]), 支障なく / [[OK]]",
A1,October,noun,10月,"〈U〉〈C〉10月, 《形容詞的に》10月の",
A1,Olympics,noun,国際オリンピック大会,《The》(現代の)国際オリンピック大会 / (古代ギリシャの)オリンピア競技,
A1,Saturday,noun,土曜日,土曜日(Saturn's dayの意;《略》Sat.),
A1,September,noun,9月,"9月(英米では学校の新学年の始まる月;Sept.,Sep.)",
A1,Sunday,noun,日曜日,日曜日(キリスト教の安息日で週の第1日;《略》Sun.),
A1,T-shirt,noun,ティーシャツ,ティーシャツ(丸首の半そでシャツ) / [[tee-shirt]],
A1,TV,noun,television,television,has_ascii_letter
A1,Thursday,noun,木曜日Thu,"木曜日《略》Thu,Thur.,Thurs.)",has_ascii_letter
A1,Tuesday,noun,火曜日,"火曜日({略}Tu.,Tues.)",
A1,Wednesday,noun,水曜日,水曜日(《略》Wed.),
A1,a.m.,adverb,午前,《時間を表す数字の後につける》『午前』(ラテン語ante meridiemの略),
A1,about,adverb,だいたい…ころに,"《時を表す名詞を伴って》だいたい…ころに(《話》[[around]])  / 周囲に(《米》[[around]])  / 《英》あちこちに,点々と(《米》[[around]])  / 《英》あたりに(《米》[[around]])  / 《しばしば数詞と共に用いて》およそ,約 / ぐるっと回って,反対の位置(方向)に(《米》[[around]]) / 順番に,交互に",has_dots
A1,about,preposition,…について,"…について,に関して  / 《英》…の回りに(を),の周囲を(で)(《米》[[around]])  / 《英》…のあちこちに(で,を),に点々と(《米》[[around]])  / 《英》…のあたりに(を),の近くに([[near]])(《米》[[around]])  / …の身の回りに,を手もとに  / …の身辺に,のどこかに  / …に従事して,にかかわって",has_dots
A1,above,adverb,上方に,"上方に, 上方を / 真上に, 頭上に高く / 上流に / 天に,空に / (特に地位において)高位に / (本・ページの)前に,前文に",
A1,above,preposition,…の上方へ,"《方向》《fly,goなどの移動を表す動詞と結びついて》…の上方へ,より高いところへ / 《場所・位置》…の上に,の上方に さらに高いところに(の)  の上流に(で), の北方に,のもっと先に, もっと遠くに / 《数・量・程度》…以上に,にまさって / 《be動詞と結びついて》…の力の及ばない,を越えて([[beyond]])",has_dots
A1,action,noun,行動,"〈U〉行動, 活動, 精力的な活動 / 〈C〉行為, 行い, 《複数形で》日常の行動, ふるまい / 〈U〉(機械などの) 働き, 機能 / (薬・化学薬品などの) 作用",
